City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,basco,20.4487,121.9702,23.37,96,99,3.43,PH,1738355648
1,albany,42.6001,-73.9662,1.0,77,100,1.14,US,1738355649
2,thompson,55.7435,-97.8558,-21.91,64,20,5.14,CA,1738355650
3,grange,-34.9,138.4833,21.56,65,20,2.06,AU,1738355651
4,bethel,41.3712,-73.414,4.69,90,100,0.45,US,1738355669
5,port saint john's,-31.6229,29.5448,23.41,89,97,3.46,ZA,1738355670
6,west island,-12.1568,96.8225,25.99,94,75,4.12,CC,1738355671
7,tovuz,40.9922,45.6289,4.12,77,0,0.62,AZ,1738355672
8,iqaluit,63.7506,-68.5145,-17.95,77,100,9.26,CA,1738355673
9,grytviken,-54.2811,-36.5092,11.94,48,87,5.45,GS,1738355674
10,bikenibeu village,1.3673,173.1241,26.98,83,20,5.14,KI,1738355675
11,adamstown,-25.066,-130.1015,24.34,69,94,6.06,PN,1738355701
12,papatowai,-46.5619,169.4708,16.95,60,100,1.64,NZ,1738355702
13,vorgashor,67.5833,63.95,-27.08,100,51,1.74,RU,1738355703
14,phrae,18.0833,100.0,19.47,77,80,0.08,TH,1738355704
15,port mathurin,-19.6833,63.4167,26.99,89,100,11.74,MU,1738355705
16,port moresby,-9.4431,147.1797,26.18,79,100,2.18,PG,1738355708
17,mahibadhoo,3.7833,72.9667,27.27,75,69,3.72,MV,1738355709
18,badger,64.8,-147.5333,-33.9,73,20,0.0,US,1738355455
19,waitangi,-43.9535,-176.5597,17.12,80,2,3.13,NZ,1738355711
20,iskateley,67.6803,53.1512,-15.42,97,69,3.6,RU,1738355712
21,port lincoln,-34.7333,135.8667,19.57,79,0,6.05,AU,1738355532
22,azovo,54.6997,73.0237,-22.81,98,92,2.68,RU,1738355714
23,nizao,18.25,-70.2,26.69,72,10,8.26,DO,1738355715
24,naze,28.3667,129.4833,17.51,73,100,8.52,JP,1738355716
25,ouadda,8.0777,22.4007,21.27,24,12,2.57,CF,1738355718
26,avarua,-21.2078,-159.775,28.03,78,100,2.57,CK,1738355719
27,port-aux-francais,-49.35,70.2167,5.24,74,35,16.09,TF,1738355720
28,jatiroto,-7.8833,111.1167,23.53,94,100,1.81,ID,1738355721
29,yellowknife,62.456,-114.3525,-29.69,76,20,2.57,CA,1738355722
30,xai-xai,-25.0519,33.6442,25.57,78,0,4.76,MZ,1738355723
31,holualoa,19.6228,-155.9522,21.02,96,100,5.14,US,1738355724
32,vila velha,-20.3297,-40.2925,29.97,62,20,8.75,BR,1738355725
33,udachny,66.4167,112.4,-29.9,99,100,1.36,RU,1738355726
34,luderitz,-26.6481,15.1594,17.71,89,4,6.71,NA,1738355728
35,hermanus,-34.4187,19.2345,15.45,82,5,0.47,ZA,1738355729
36,olonkinbyen,70.9221,-8.7187,-1.96,94,100,7.43,SJ,1738355730
37,marshfield,44.6689,-90.1718,6.97,45,0,4.63,US,1738355731
38,klyuchi,52.2667,79.1667,-24.05,100,76,2.89,RU,1738355732
39,zelenoborskiy,66.845,32.3622,-4.33,98,100,0.25,RU,1738355733
40,edinburgh of the seven seas,-37.0676,-12.3116,17.29,81,74,7.9,SH,1738355734
41,ushuaia,-54.8,-68.3,10.81,66,75,7.72,AR,1738355736
42,ulanhot,46.0833,122.0833,-20.51,91,18,1.72,CN,1738355737
43,punta arenas,-53.15,-70.9167,16.06,48,40,11.32,CL,1738355445
44,staryy dobrotvir,50.2315,24.377,4.57,73,100,5.36,UA,1738355740
45,sitka,57.0531,-135.33,-2.06,54,20,1.54,US,1738355741
46,blackmans bay,-43.0167,147.3167,16.07,85,80,1.09,AU,1738355742
47,san luis de la loma,17.2706,-100.8939,29.66,49,0,3.47,MX,1738355744
48,goryachiy klyuch,44.6308,39.13,5.2,75,100,0.54,RU,1738355745
49,rumbek,6.802,29.6912,27.16,19,18,1.23,SS,1738355746
50,laayoune,27.1622,-13.2032,17.19,67,54,8.75,EH,1738355747
51,katsuura,35.1333,140.3,7.53,50,99,5.35,JP,1738355532
52,lubango,-14.9172,13.4925,15.68,97,100,0.37,AO,1738355749
53,labuan,5.2767,115.2417,26.2,94,20,0.0,MY,1738355750
54,vallenar,-28.5708,-70.7581,25.88,35,0,4.05,CL,1738355751
55,rio grande,-32.035,-52.0986,24.6,68,0,5.41,BR,1738355752
56,jamestown,42.097,-79.2353,4.45,98,100,1.54,US,1738355754
57,zhezqazghan,47.7833,67.7667,-10.96,96,100,3.06,KZ,1738355755
58,ha giang,22.8333,104.9833,17.21,96,100,0.76,VN,1738355756
59,noumea,-22.2763,166.4572,29.46,99,67,6.48,NC,1738355757
60,pisco,-13.7,-76.2167,26.03,65,0,9.77,PE,1738355758
61,utrik,11.2278,169.8474,26.4,68,72,7.31,MH,1738355759
62,palopo,-2.9996,120.1921,24.49,90,100,1.01,ID,1738355760
63,mount isa,-20.7333,139.5,28.87,48,1,3.6,AU,1738355761
64,aykhal,66.0,111.5,-24.89,97,100,2.25,RU,1738355763
65,nogliki,51.8333,143.1667,-21.17,98,81,2.88,RU,1738355764
66,bilibino,68.0546,166.4372,-44.01,99,50,1.43,RU,1738355765
67,camana,-16.6228,-72.7111,23.13,77,67,3.67,PE,1738355766
68,ust'-ilimsk,58.0006,102.6619,-33.75,100,56,0.77,RU,1738355767
69,sault ste. marie,46.5168,-84.3333,-1.84,69,100,7.72,CA,1738355768
70,bam,29.106,58.357,7.0,31,0,3.86,IR,1738355769
71,atafu village,-8.5421,-172.5159,28.41,73,37,8.05,TK,1738355770
72,faaa,-17.55,-149.6,30.98,66,0,4.63,PF,1738355772
73,aginskoye,51.1,114.53,-31.56,100,51,1.62,RU,1738355773
74,margaret river,-33.95,115.0667,15.42,87,73,3.92,AU,1738355774
75,tiksi,71.6872,128.8694,-35.59,100,92,2.17,RU,1738355775
76,barth,54.3635,12.7249,3.42,92,10,3.93,DE,1738355776
77,ust-nera,64.5667,143.2,-40.49,99,90,1.77,RU,1738355777
78,puerto natales,-51.7236,-72.4875,16.25,41,75,10.29,CL,1738355778
79,tejen,37.3834,60.5054,2.82,54,0,4.23,TM,1738355779
80,toba,34.4833,136.85,6.34,74,45,5.72,JP,1738355780
81,isafjordur,66.0755,-23.124,2.15,94,100,7.09,IS,1738355782
82,qaqortoq,60.7167,-46.0333,-6.99,93,100,2.58,GL,1738355783
83,flin flon,54.7682,-101.865,-23.09,64,20,2.57,CA,1738355784
84,pemangkat,1.1667,108.9667,25.52,80,100,4.31,ID,1738355786
85,invercargill,-46.4,168.35,15.01,82,100,1.34,NZ,1738355787
86,manta,-0.95,-80.7333,29.88,62,40,6.69,EC,1738355671
87,mejit,10.2753,170.8646,26.73,70,85,6.9,MH,1738355790
88,mumford,5.2618,-0.759,26.7,83,49,4.18,GH,1738355791
89,selfoss,63.9331,-20.9971,5.58,92,100,14.01,IS,1738355792
90,talnakh,69.4865,88.3972,-20.59,97,100,2.93,RU,1738355793
91,misratah,32.3754,15.0925,16.35,68,0,9.96,LY,1738355794
92,gandarbal,34.2333,74.7833,4.88,52,99,0.94,IN,1738355795
93,ponta delgada,37.7333,-25.6667,18.44,82,75,8.75,PT,1738355796
94,ilulissat,69.2167,-51.1,-0.99,55,75,3.6,GL,1738355797
95,sinabang,2.4803,96.3801,25.37,84,71,0.65,ID,1738355798
96,puerto ayora,-0.7393,-90.3518,26.97,87,84,3.13,EC,1738355800
97,bayramaly,37.6185,62.1671,0.86,56,3,2.76,TM,1738355801
98,luz,-19.8014,-45.6856,22.56,87,100,1.97,BR,1738355802
99,imzouren,35.1463,-3.8497,10.6,76,0,2.57,MA,1738355803
100,stanley,54.868,-1.6985,3.07,90,75,0.51,GB,1738355804
101,ribeira grande,38.5167,-28.7,18.22,88,75,6.26,PT,1738355805
102,lubliniec,50.669,18.6844,0.61,85,10,3.36,PL,1738355806
103,brookings,44.3114,-96.7984,1.0,63,0,5.14,US,1738355808
104,antofagasta,-23.65,-70.4,22.6,79,45,3.67,CL,1738355809
105,longyearbyen,78.2186,15.6401,-4.09,80,75,3.6,SJ,1738355810
106,vilyuchinsk,52.9306,158.4028,-2.85,77,99,3.35,RU,1738355811
107,argo,37.6333,22.7333,11.1,80,16,1.26,GR,1738355812
108,ta`u,-14.2336,-169.5144,27.7,78,76,7.65,AS,1738355813
109,punta del este,-34.9667,-54.95,27.06,76,20,6.69,UY,1738355814
110,chengdu,30.6667,104.0667,6.94,87,40,1.0,CN,1738355816
111,kerikeri,-35.2268,173.9474,21.29,65,100,0.76,NZ,1738355817
112,hotan,37.0997,79.9269,-1.92,40,76,1.19,CN,1738355818
113,fale old settlement,-9.3852,-171.2468,28.52,74,32,7.92,TK,1738355819
114,nuku'alofa,-21.1333,-175.2,27.19,89,75,0.51,TO,1738355820
115,port elizabeth,-33.918,25.5701,19.62,93,0,0.89,ZA,1738355821
116,puerto baquerizo moreno,-0.9,-89.6,28.55,70,75,4.12,EC,1738355822
117,christchurch,-43.5333,172.6333,18.3,84,100,1.54,NZ,1738355524
118,wailua homesteads,22.0669,-159.378,23.96,77,20,2.57,US,1738355824
119,traverse city,44.7631,-85.6206,3.04,61,20,5.36,US,1738355826
120,bredasdorp,-34.5322,20.0403,18.6,79,17,2.12,ZA,1738355827
121,ierapetra,35.01,25.7353,13.97,68,3,0.45,GR,1738355828
122,catalao,-18.1658,-47.9464,21.4,94,100,1.83,BR,1738355829
123,colonia,50.9333,6.95,2.76,82,0,2.06,DE,1738355830
124,key west,24.5557,-81.7826,27.0,78,0,7.2,US,1738355831
